der Buchstabe	la lettre
Im Französischen werden viele Buchstaben nicht ausgesprochen.	En fraçais, beaucoup de lettres ne se prononcent pas.

buchstabieren	épeler
Ich kann meinen Namen nicht auf Französisch buchstabieren.	Je ne sais pas épeler mon nom en français.

das Wort / (einzelnes Wort)	le mot
Ich lerne jeden Tag neue Wörter.	Chaque jour, j'apprend des mots nouveaux.

das Wort / die Wortfolge	la parole
Ich möchte bitte das Wort ergreifen.	Je voudrais prendre la parole, s'il vous plaît.

der Satz	la phrase
Lassen Sie mich wenigstens meinen Satz zu Ende sagen!	Laissez-moi au moins terminer ma phrase!

das Substantiv	le nom
Im Französischen gibt es für Substantive nur zwei Geschlechter.	En français, il n'y a que deux genres pour les noms.

das Geschlecht / das Genus	le genre
Ich habe wirklich Probleme mit dem Genus.	J'ai vraiment des problèmes avec les genres.

das Adjektiv	l'adjectif
Das Adjektiv "joli" wird nicht für Männer benutzt.	On n'utilise pas l'adjectiv "joli" pour on homme.

das Adverb	l'adverbe
"Rapidement" ist ein Adverb, "rapide" ein Adjektiv.	"Rapidement" est un adverbe, "rapide" un adjectif.

das Verb	le verbe
Die französischen Verben werden in drei Gruppen unterteilt.	Les verbes français sont répartis en trois groupes.

männlich / maskulin	masculin / masculine
Camille ist ein männlicher wie auch ein weiblicher Vorname.	Camille est un prénom à la fois masculin et féminin.

weiblich / feminin	féminin / féminine
Geschlecht: weiblich. Alter: 17 Jahre.	Sexe: féminin. Âge: 17 ans.

der Singular	le singulier
"Je" ist die erste Person Singular.	"Je" est le première personne du singulier.

der Plural	le pluriel
Fast alle Nomen auf "-ail" bilden ihren Plural auf "-aux".	Presque tout les noms en "-ail" font leur pluriel en "-aux".

die Bedeutung	le sens
Welche Bedeutung hat dieser Ausdruck?	Quel est le sens de cette expression?

die Sprache	la langue
Es ist nützlich, wenn man mehrere Sprachen spricht.	Il est utile de parler plusieurs langues.

die Sprache	le langage
Die gesprochene Sprache ist oft anders als die geschriebene.	Le langage parlé est souvent différent du langage écrit.

bedeuten	vouloir dire
Ich weiß nicht, was der Satz bedeutet.	Je ne sais pas ce que veut dire la phrase.

übersetzen	traduire
Übersetzt du mir meinen Brief ins Französische?	Tu me traduis ma lettre en français?

das Wörterbuch	le dictionnaire
Ich kann sehr schnell in einem Wörterbuch nachschlagen.	Je sais très vite chercher dans un dictionnaire.

das Zeichen	le signe
In einer Sprache gibt es Buchstaben und Zeichen.	Dans une langue il y a des lettres et des signes.

die Grammatik	la grammaire
Wenn du gut sprechen willst, musst du die Grammatik lernen.	Si tu veux bien parler, il faut apprendre la grammaire.

aussprechen	prononcer
Im Französischen werden viele Buchstaben nicht ausgesprochen.	En français, beaucoup de lettres ne sont pas prononcées.

der Akzent	l'accent
Im Französischen gibt es drei verschiedene Akzente.	En français, il y a trois sortes d'accent.


