sich waschen	se laver
Während unserer Wandertour haben wir uns nicht gewaschen.	Pendant notre randonnée, nous ne nous sommes pas lavés.

sich duschen	prendre une douche
Ich dusche jeden Morgen.	Je prends une douche chaque matin.

baden / ein Bad nehmen	prendre un bain
Unsere Kinder lieben es, zusammen ein Bad zu nehmen.	Nos enfants adorent prendre un bain ensemble.

sich abtrocknen	s'essuyer
Ich trockne mich immer mit einem großen Frottierhandtuch ab.	Je m'essuie toujours avec une grande serviette éponge.

bürsten	brosser
Sie bürstet sich die Haare mehrere Male am Tag.	Elle se brosse les cheveux plusieurs fois par jour.

sich die Zähne putzen	se laver les dents
Los, putz dir schnell die Zähne und geh ins Bett!	Allez, lave-toi vite les dents et va au lit!

sich rasieren	se raser
Er muss sich jeden Morgen rasieren.	Il doit se raser tous le matins.

die Seife	le savon

die Creme	la crème

der Kamm	le peigne

die Bürste	la brosse / la brosse à cheveux

die Zahnbürste	la brosse à dents

die Zahnpasta	la pâte dentrifice

das Parfüm	le parfum

das Taschentuch	le mouchoir


