die Krankheit	la maladie
Er schon alle möglichen Krankheiten gehabt.	Il a déjà eu toutes les maladies possibles.

krank	malade
Sie ist während der Ferien krank geworden.	Elle est tombée malade pendant les vacances.

Mein Großvater ist noch bei bester Gesundheit.	Mon grand-père est encore en très bonne santé.

Es ist sehr gesund, Obst zu essen.	Il est très sain de manger des fruits.

Wie fühlen Sie sich heute?	Comment vous sentez-vous aujourd'hui?

gut gehen	aller bien
Und du? Wie geht es dir? Es geht mir gut.	Et toi? Comment vas-tu? Ça va bien.

körperlich	physique
Etwas körperliche Betätigung würde dir nicht schaden.	Un peu d'exercice physique ne te ferait pas de mal.

gesund werden	guérir
Ich bin endlich wieder gesund geworden.	Je suis enfin guérie.

sich erholen	se remettre
Meine Mutter hat sich sehr schnell von ihrer Operation erholt.	Ma mère s'est remise très vite de son operation.

die Kraft	la force
Das Kind hat nicht genug Kraft, um die Tür zu öffnen.	L'enant n'a pas assez de force pour ouvrir la porte.

der Schmerz	la douleur
Nach meinem Unfall hatte ich überall Schmerzen.	Après mon accident, j'avais des douleurs partout.

wehtun	faire mal
Entschuldigung, ich hoffe, ich habe Ihnen nicht wehgetan!	Excusez-moi, je ne vous ai pas fait mal, j'espère!

Schmerzen haben	avoir mal
Hast du noch Schmerzen am Knie?	As-tu encore mal au genou?

leiden	souffrir
Woran leiden Sie?	De quoi souffrez-vous?

bluten	saigner
Das ist nicht schlimm, es blutet ja nicht einmal.	Ce n'est pas bien grave, ça ne saigne même pas.

die Verletzung / die Wunde	la blessure
die Verletzung ist nicht schlimm.	La blessure n'est pas grave.

verletzt 	blessé / blessée
Alle verwundeten Soldaten wurden ins Krankenhaus gebracht.	Tous les soldats blessés ont été transportés à l'hôpital.

verletzen	blesser
Es ist ein Glück, dass niemand verletzt wurde.	C'est une chance que personne n'ait été blessé.

sich verletzen	se blesser
Pass auf, dass du dich nicht verletzt!	Fais attention à ne pas te blesser!

sich brechen	se casser
Im letzten Skiurlabu habe ich mir das Bein gebrochen.	Pendant mes dernières vacances de ski, je me suis cassé la jambe.

der Schnupfen	le rhume
erkältet	enrhumé / enrhumée
Ich gebe euch keinen Kuss, weil ich sehr erkältet bin.	Je ne vous embrasse as, car je suis très enrhumée.

husten	tousser
Das Baby hat die ganze Nacht gehustet.	La bébé a toussé toute la nuit.

das Fieber	la fièvre

schwitzen	transpirer
Man soll viel schwitzen, um das Fieber zu senken.	Il faut beaucoup transpirer pour faire tomber la fièvre.

zittern	trembler
Ihr war so kalt, dass sie zitterte.	Elle avait tellement froid qu'elle tremblait.

die Grippe	la grippe
die Kopfschmerzen	le mal de tête
die Bauchschmerzen	le mal de ventre
der Schock	le chox

der Behinderte / die Behinderte	le handicapé / la handicapée
Gibt es in diesem Restaurant Toiletten für Behinderte?	Y a-t-il dans ce restaurant des toilettes pour handicapés?

behindert	handicapé
Warum werden behinderte Kinder von den anderen getrennt?	Pourquoi les enfants handicapés sont-ils sont-ils séparés des autres?

stumm	muet / muette
Taube Kinder sind oft auch stumm.	Les enfants sourdes sont souvent aussi muets.

die Gewohnheit	l'habitude
Die Franzosen haben die Gewohnheit, abends warm zu essen.	Les Français ont l'habitude de prendre un repas chad le soir.

abhängig sein von	dépendre de
Ich war zu lange von meiner Familie abhängig.	J'ai trop longtemps dépendu de ma famille.

sich gewöhnen an	s'habituer à
Sie werden sehen, Sie gewöhnen sich daran.	Vous verrez, vous vous y habituerez.

der Raucher	le fumeur
die Raucherin	la fumeuse
der Nichtraucher	le non-fumer
die Nichtraucherin	la non-fumeuse

rauchen	fumer
Ich habe vor fünfzehn Tagen aufgehört zu rauchen.	Cela fait quinze jours que j'ai arrêté de fumer.

der Alkoholiker / die Alkoholikerin	l'alcoolique

betrunken	ivre
Ich höre lieber auf, sonst werde ich noch betrunken.	J'arrête, sinon je vais être ivre.

der Drogenabhängige	le toxicomane

die Droge	la drogue
Kokain ist ein sehr gefährliches Rauschgift.	La cocane est une drogue très dangereuse.

Drogen nehmen	se droguer
Ich glaube, meine Schwester nimmt Drogen. Sie braucht Hilfe.	Je crois que ma sœur se drogue. Elle a besoion d'aide.


