Hast du schon deinen Führerschein?	As-tu déjà ton permis de conduire?

besitzen	posséder
Meine Eltern besitzen ein Haus in Südfrankreich.	Mes parents possèdent une maison dans le Midi.

behalten	garder
Ich behalte mein altes Auto, solange es fährt.	Je garde ma vieille voiture tant qu'elle roule.

eigen	propre
Bei uns hat jeder seinen eigenen Fernseher.	Chez nous, chacun a sa propre télé.

geben	donner
Warte, ich gebe dir meine Adresse.	Attends, je vais te donner mon adresse.

geben / reichen	passer
Gibst du mir bitte den Senf?	Tu me passes le moutarde, s'il te plaît?

Du kannst mein Fahrrad nehmen.	Tu peux prendre mon vélo.

bringen / mitbringen	apporter
Kannst du mir mal meine Brille bringen?	Peux-tu m'apporter mes lunettes?

mitnehmen	emporter
Ich nehme meinen Koffer lieber mit.	Je préfère emporter ma valise avec moi.

annehmen	accepter
Ich nehme Ihre Einladung mit Vergnügen an.	J'accepte avec plaisir votre invitation.

holen	aller chercher
Kannst du mir meine Brille holen?	Peux-tu aller chercher mes lunettes?

überlassen	laisser
Kannst du mir dein Auto für drei Tage überlassen?	Est-ce que tu peux me laisser ta voiture pour trois jours?

erhalten / bekommen	recevoir
Ich hoffe, dass du meinen Brief morgen erhältst.	J'espère que tu recevras ma lettre demain.

zurückgeben	rendre
Könntest du mir mein Buch zurückgeben?	Pourrais-tu me rendre mon livere?


