der Plan	le projet
Habt ihr schon Pläne für den Urlaub?	Vous avez des projets pour les vacances?

versuchen	essayer
Ich werde versuchen, mein Versprechen zu halten.	Je vais essayer de tenir ma promesse.

vorbereiten	préparer
Er hatte seine Rede gut vorbereitet.	Il avait bien préparé son discours.

entscheiden	décider
Wir haben beschlossen, dieses Jahr ans Meer zu fahren.	Cette année, nous avons décidé d'aller à la mer.

die Sicherheit	la certitude
Ich weiß mit Sicherheit, dass du dich verrechnet hast.	Je sais avec certitude que tut t'es trompé dans tes comptes.

Sind Sie sicher mit dem, was Sie sagen?	Vous êtes sûr de ce que vous dites?

achten auf	faire attention à
Ich habe das Radio an aber auchte nicht auf das, was ich da höre.	Je mets la radio mais ne fais pas attention à ce que j'entends.

respektieren	respecter
Oft respektiert man den strengsten Lehrer am meisten.	C'est souvent le provesseur le plus sévère qu'on respecte le plus.

die Mühe	le mal
Sie hat sich die ganze Mühe umsonst gemacht.	Elle s'est donné beaucoup de mal pour rien.

anstrengend	fatigant / fatigante
Es ist anstrengend, stundenlang vorm Computer zu sitzen.	C'est fatigant de rester des heures devant l'ordinateur.

die Hilfe	l'aide
Ohne deine Hilfe hätte ich es nicht geschafft.	Sans ton aide, je n'y serais pas arrivée.

Kannst du ihnen helfen, diesen Text zu übersetzen?	Tu peux les aider à traudire ce texte?

die Pflicht	le devoir
Glaubst du, es ist meine Pflicht, dir diese Summe zu leihen?	Crois-tu que c'est mon devoir de te prêter cette somme-là?

der Gefallen	la faveur
Darf ich Sie um einen kleinen Gefallen bitten?	Puis-je vous demander une petite faveur?


