bitten	demander
Dürfte ich um etwas Brot bitten?	Puis-je vous demander du pain?
Fragen Sie einen Polizisten nach dem Weg!	Demandez votre chemin à un agent!

Kann ich dir eine Frage stellen?	Est-ce que je peux te poser une question?

Meine Antwort lautet nein!	Ma réponse est non!

Ich konnte die Frage des Lehrers nicht beantworten.	Je n'ai pas su répondre à la question du prof.

Verstehen Sie Deutsch?	Ja, ein bisschen.
Du hast es mir nicht gesagt. Doch, das habe ich dreimal!	Tu ne me l'as pas dit. Mais si, je te l'ai dit trois fois.

Sind Sie Französing? Nein, ich bin Deutsche.	Vous êtes Française? Non, je suis Allemande.

Ein Franzose, der Jeanne d'Arc nicht kennt? Sehr erstaunlich!	Un Français qui ne connaît pas Jeanne d'Arc? Très étonnant.

Wie bitte?	Pardon?

Keine Ursache!	De rien!
Mir reichts! Immer muss alles nach deinem Willen gehen!	J'en ai assez, il faut toujours faire ta volonté!

wollen	vouloir
Meine Eltern wollen nicht, das sich so spät nach Hause komme.

wünschen	souhaiter
Ich wünsche Ihnen allen ein gutes neues Jahr.	Je vous souaite à tous une bonne et heureuse année.

versprechen	promettre
Ich habe meinen Eltern versprochen, zu Weihnachten da zu sein.	J'ai promis à mes parents d'être là à Noël.

Das schlechte Wetter ist doch keine Entschuldigung, im Gegenteil!	Mais le mauvais temps, ce n'est pas une excuse, au contraire.

Entschuldigen Sie meine Verspätung.	Excusez mon retard.

der Befehl	l'ordre
Ich erteile nicht gern Befehle.	Je n'aime pas donner d'ordres.

erlauben	permettre
Es ist nicht erlaubt, in diesem Raum zu rauchen.	Il n'est pas permis de fumer dans cette salle.

Gestatten Sie?	Vous permettez?

dürfen	pouvoir
Darf man in französischen Gymnasien rauchen?	Est-ce qu'on peut fumer dans les lycées français?

untersagen	interdire
Es ist verboten, vor einer Garage zu parken.	Il est interdit de stationner devant un garage.

