das Gespräch	la conversation
Wir hatten ein langes Gespräch über die Zukunft Europas.	Nous avons eu une longue conversation sur l'avenir de l'Europe.

Es ist angenehm, wenn man die Landessprache sprechen kann.	C'est agréable de savoir parler la langue du pays.

sagen	dire
Ärzte sagen dem Kranken nicht immer die ganze Wahrheit.	Les médecins ne disent pas toujours toute la vérité au malade.

erfahren	apprendre
Herzlichen Glückwunsch! Ich habe erfahren, dass du heiratest.	Félicitations, j'ai appris que tu allais te marier!

erzählen	raconter
Wer hat meinen Eltern erzählt, dass ich einen neuen Freund habe?	Qui a raconté à mes parents que j'ai un nouveau copain?

Kannst du die Kinder rufen? Wir essen.	Peux-tu appeler les enfants? On mange.

die Stille	le silence
Ruhe, Kinder. Ich lese euch jetzt ein Märchen vor.	Les enfants, silence! Je vais vous lire une conte de fées.

erklären	expliquer
Können Sie mir das Ende des Films erklären?	Vous pouvez m'expliquer la fin du film?

der Ausdruck	l'expression
Was bedeutet dieser Ausdruck?	Que veut dire cette expression?

ausdrücken	exprimer
Wie soll man seine Gefühle in einer Fremdsprache ausdrücken?	Comment exprimer ses sentiments dans une langue étrangère?


