der Streit	la dispute
Sie schaffen es nicht, Auseinandersetzungen zu vermeiden.	Ils n'arrivent pas à éviter les disputes.

sich streiten 	se disputer
Es ist ormal, dass Geschwister ab und zu mal streiten.	Il est normal que frères et sœurs se disputent de temps en temps.

der Ärger	la colère
Sein Gesicht war rot vor Wut.	Son visage était rouge de colère.

sich aufregen	s'énerver
Reg dich nicht auf!	Ne t'énerve pas!

verärgert / ärgerlich	contrarié / contrariée
Papa wird sehr verärgert sein über deine Verspätung.	Papa va être très contrarié par ton retard.

zornig	furieux / furieuse
Er ist wütend, weil er nur Zweiter geworden ist.	Il est furieux d'être arrivé seulement deuxième.

wütend machen	fâcher
Sagen Sie ihm nicht, dass er dick ist. Das macht ihn wütend.	Ne lui dites pas qu'il est gros. Ça va le fâcher.

wütend werden	se fâcher
Wenn du so weitermachst, werde ich wütend.	Si tu continues comme ça, je vais me fâcher.

der Schrei	le cri
Als ich gefallen bin, habe ich einen Schrei ausgestoßen.	Lorsque je suis tombée, j'ai poussé un cri.

schreien	crier
Schrei nicht so laut. Ich bin doch nicht taub.	Ce n'est pas la peine de crier. Je ne suis pas sourd.

protestieren	protester
Die Umweltschützer protestieren gegen dieses neue Projekt.	Les écologiste protestent contre ce nouveau projet.

stören	déranger
Stört es Sie, wenn ich eine Zigarette rauche?	Ça vous dérange que je fume une cigarette?

das Geheimnis	le secret
Ihnen sage ich es, aber es ist ein Geheimnis.	Je vous le dis à vous, mais c'est un secret.

gemein	méchant / méchante
Er ist wirklich gemein zu mir gewesen.	Il a été vraiment méchant avec moi.


