lieb	brave
Er wird manchmal wütend, aber er ist ein lieber Kerl.	Il se met parfois en colère, mais c'est un brave type.

lieb / nett	gentil / gentille
Monique ist ein sehr liebes Mädchen.	Monique est une jeune fille très gentille.

gut / gütig	bon / bonne
Das ist eine wirklich gute Person, die hilft, wo sie nur kann.	C'est une personne vraiment bonne qui aide où elle peut.

freundlich	aimable
WärensSie so freundlich und würden diese Tür offen lassen?	Seriez-vous assez aimable pour laisser cette porte ouverte?

brav / artig	sage
Kinder, seid schön brav, ich bin in fünf Minuten wieder da.	Les envants, soyez bien sages, je revies dans cinq minutes.

der Charme	le charme
Man kann Charme haben, ohne schön zu sein.	On peut avoir du charme et ne pas être beau.

charmant	charmant / charmante
Man vergibt ihr all ihre Lügen, denn sie ist ja so charmant.	On lui pardonne tous ses mensonges, car elle est si charmante.

die Vernunft	la raison
Glücklicherweise hat die Vernunft ihn daran gehindert zu fahren.	Heureusement que la raison l'a empêché de conduire.

vernünftig	raisonnable
Also, sei vernünftig und mach keine Dummheiten!	Allons, sois raissonable et ne fais pas de bêtises.

ernst / ernsthaft	sérieux / sérieuse
Philippe ist ein sehr ernster junger Mann.	Philippe est un jeune homme très sérieux.

sympathisch	sympathique
Ich habe sie sofort sympathisch gefunden.	Je l'ai tout de suite trouvée sympathique.

ruhig	calme
Er bleibt ruhig, auch wenn es schlecht läuft.	Il reste calme même quand les choses vont mal.

still	tranquille
Ich hoffe, dass die Kinder heute still sind.	J'espère que les enfants seront tranquilles aujourd'hui.

komisch	comique
Die Szene war so komisch, dass alle Leute lauthals gelacht haben.	La scène était si comique que tout le monde a éclaté de rire.

der Mut	le courage
Nur Mut, wir sind schon fast am Ziel!	Allez, du courage, on est presque arrivés!

mutig	courageux / courageuse
Wenn ich mutiger wäre, würde ich ihr sagen, was ich denke.	Si j'étais plus courageux, je lui dirais ce que je pense.

die Dummheit	la bêtise
Er ist sich über seine Dummheit gar nicht im Klaren.	Il na se rend pas compte de sa bêtise.

dumm	bête
Das ist dumm! Ich habe wieder meine Schlüssel im Büro vergessen.	C'est bête! J'ai encore oublié mes clés au bureau.

böse / gemein	méchant / méchante
Er ist wirklich böse zu mir gewesen.	Il a été vraiment méchant avec moi.

feige	lâche
Er ist zu feige, um mir die Wahrheit ins Gesicht zu sagen.	Il est trop lâche pour me dire la vérité en face.


