die Kleidung	les vêtements
Ich nehme warme Kleidung mit, es könnte schneien.	J'emporte des vêtements chauds, il pourrait neiger.

die Mode	la mode
Es ist teuer, wenn man immer mit der Mode gehen will.	Ça coûte cher de vouloir être toujours à la mode.

elegant	élégant / élégante
Ein Mann muss nicht eine Krawatte tragen, um elegant zu sein.	Un homme peut être élégant sans orter une cravate.

sich anziehen	s'habiller
Ich ziehe mich an, dann bin ich fertig.	Je m'habille et je suis prête.

anziehen	mettre
Ich habe nichts anzuziehen.	Je n'ai rien à me mettre.

ausziehen	enlever
Mir ist zu warm, ich ziehe meine Jacke aus.	J'ai trop chaud, j'enlève ma veste.

sich ausziehen	se déshabiller
Ich bin ins Bett gegangen ohne mich auszuziehen.	Je me suis couchée sans me déshabiller.

tragen / anhaben	porter
Sie hat einen zu kurzen Rock an.	Elle porte une jupe trop courte.

anprobieren	essayer
Du musst das Kleid anprobieren, um zu sehen, ob es dir steht.	Il faut que tu essaies la robe pour voir si elle te va.

sich umziehen	se changer
Ich ziehe mich schnell um, damit ich mich nicht erkälte.	Je vais me changer en vitesse pour ne pas prendre froid.

stehen / passen	aller
Der Bart steht ihm sehr gut.	La barbe lui va très bien.

zusammenpassen	aller ensemble
Deine Hose und deine Bluse passen gut zusammen.	Ton pantalon et ton chemisier vont bien ensemble.

eng	étroit / étroite
Wie kann man nur so enge Jeans tragen?	Comment peut-on mettre des jeans aussi étroits?

weit	large
Der Mantel ist ihr zu weit.	Son manteau est trop large pour elle.

kurz	court / courte
So gehst du nicht in die Kirche, dein Rock ist viel zu kurz.	Tu ne vas pas à l'église ainsi, ta jupe est beaucoup trop courte!

lang	long / longue
Du bist aber elegant in diesem hübschen langen Kleid.	Que tu es élégante dans cette jolie robe longue!

die Schuhgröße	la pointure
Ich trage 42. Eine Schuhgröße, die schwer zu finden ist.	Je chausse du 42. C'est une pointure difficile à trouver.

die Kleidergröße / die Größe	la taille
Im Schlussverkauf finde ichnie meine Größe.	Pendent les solde, je ne trouve jamais ma taille.

der Mantel	le manteau
die Jacke	la veste
die Hose	la pantalon
die Jeans	le jean
das T-Shirt	le tee-shirt
der Pullover	le pull-over / le pull
das Kleid	la robe
der Rock	la jupe
die Shorts	le short
das Hemd	la chemise
die Bluse	le chemisier
der Anzug	le costume
der Strumpf	le bas
die Socke	le chaussette
der Schuh	la chaussure
der Schlafanzug	le pyjama
das Nachthemd	la chemise de nuit
der Slip	le slip
die Unterhose	la culotte
die Boxershorts	le caleçon
der Badeanzug	le maillot de bain
die Badehose	le slip de bain
der Bikini	le bikini


