das Gefühl	le sentiment
Ich habe das Gefühl, dass man mehr für die Umwelt tun könnte.	J'ai le sentimont qu'on pourrait faire plus pour l'environnement.

die Freude	le joie
Mit Freude habe ich von deiner Hochzeit erfahren.	C'est avec joie que j'ai appris ton mariage.

das Vergnügen	le plaisir
Es ist wirklich ein Vergnügen, mit euch zu diskutieren.	C'est vraiment un plaisir de discuter avec vous.

angenehm	agréable
Dieser Sänger hat eine angenehme Stimme.	Ce chanteru a une voix agréable.

unangenehm	désagréable
Ab und zu mal nichts zu tun zu haben ist nicht unangenehm.	N'avoir rien à faire de temps en tomps n'es pas désagréable.

das Glück	le bonheur
Ich will deinem Glück nicht im Weg stehen.	Je ne veux pas être un obstacle à ton bonheur.

glücklich	heureux / heureuse
Ich hatte eine sehr glückliche Kindheit.	J'ai eu une enfance très heureuse.

unglücklich	malheureux / malheureuse
Du siehst unglücklich aus. Stimmt etwas nicht?	Tu as l'air malheureux. Ça ne va pas?

leider	malheureusement
Leider hatte ich das Thema, das drankam, nicht vorbereitet.	Je n'avais malheureusement pas refu le sujet qui est tombé.

seltsam / eigenartig	étrange
Es ist schon seltsam, dass sich niemand meldet.	C'est tout de même étrange que personne ne réponde.

das Lachen	le rire
Sein dummes Lachen gefällt mir überhaupt nicht.	Son rire bête ne me plaît pas du tout.

lachen	rire
Ich werde dir eine Geschichte erzählen, über die du lachen wirst.	Je vais te raconter une histoire qui va te faire rire.

das Lächeln	le sourire
"Ein gewisses Lächeln" ist ein gutes Buch von Françoise Sagan.	«Un certain sourire» est un bon livre de Françoise Sagan.

lächeln	sourire
Warum lächelst du? Habe ich etwas Dummes gesagt?	Pourquoi tu souris? J'ai dit une bêtise?

mögen / lieben	aimer
Ich mag Südfrankreich sehr und verbringe die ganzen Ferien dort.	J'aime bien le Midi et j'y passe toutes mes vacances.
Ich gehe gern nachts baden.	J'aime me baigner la nuit.

sehr gern haben	adorer
Man kann seine Kinder sehr gern haben, ohne sie zu verwöhnen.	On peut adorer ses enfants sans trop les gâter.

Lieblingsschausspielerin	actrice préferée
Romy Schneider war schon meine Lieblingsschauspielerin.	Romy Schneider a déjà été mon actrice préferée.

die Überraschung	la surprise
Sieh mal, ein Brief von meiner Schwester. Welch eine Überraschung!	Tiens, une lettre de ma sœur. Quelle surprise!

überraschen	surprendre
Ihre plötzliche Abreise hat uns alle sehr überrascht.	Son départ soudain nous a tous beaucoup surpris.

zufrieden	content / contente
Wir sind sehr zufrieden mit unserem neuen Auto.	Nous sommes très contents de notre nouvelle voiture.

Aus Angst, den Zug zu verpassen, ist er früh am Bahnhof gewesen.	De peur de rater son train, il est arrivé tôt à la gare.

erschrecken	fair peur à
Schreit nicht, ihr werdet ihn erschrecken.	Ne cirez pas, vous allez lui faire peur.

beunruhigt	inquiet / inquiète
Eltern sind immer beunruhigt, wenn die Kinder ausgegangen sind.	Les parents sont toujours inquiets quand les enfants sont sortis.

die Traurigkeit	la tristesse
Mit großer Traurigkeit habe ich von Jeans Tod erfahren.	C'est avec beaucoup de tristesse que j'ai appris la mort de Jean.

traurig	triste
Er ist ganz traurig, weil sein Kätzchen krank ist.	Il est tout triste parce que son petit chat est malade.

einsam / allein	seul / seule
Ich fühle mich weniger einsam, seit ich sie kennengelernt habe.	Je me sens moins seule depuis que j'ai fait leur connaissance.

schrecklich	terrible
Der Unfall war schrecklich und es gab mehrere Torte.	L'accident a été terrible et a fait plusieurs morts.

der Zweifel	la doute
Bist du dir sicher? Denn ich habe da meine Zweifel.	Tu es sûr de toi? Parce que moi, j'ai des doutes.

zweifellos	sans aucun doute
Mein Onkel ist zweifellos der beste Arzt der Stadt.	Mon oncle est sans aucun doute le meilleur médecin de la ville.

weinen	pleurer
Bei traurigen Filmen muss ich weinen.	Les films tristes me font pleurer.

die Träne	la larme
Bei der Beerdigung hatten alle Tränen in den Augen.	À l'enterrement, tout le monde avait les larmes aux yeux. 


